id,org:resource,concept:name,time:timestamp,org:role,case:Rfp_id,case:Permit travel permit number,case:Task,case:OrganizationalEntity,case:RequestedAmount,case:Activity,case:Permit TaskNumber,case:Permit BudgetNumber,case:Permit ProjectNumber,case:Project,case:concept:name,case:Permit OrganizationalEntity,case:Permit RequestedBudget,case:Cost Type,case:Permit id,case:Permit ActivityNumber,case:RfpNumber
st_step 36833_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-08 10:36:32+00:00,EMPLOYEE,request for payment 36828,travel permit number 36823,task 36827,organizational unit 65463,193.76527411003897,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36828,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36829
st_step 36834_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-01-08 10:37:04+00:00,ADMINISTRATION,request for payment 36828,travel permit number 36823,task 36827,organizational unit 65463,193.76527411003897,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36828,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36829
st_step 36832_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-01-08 11:51:16+00:00,SUPERVISOR,request for payment 36828,travel permit number 36823,task 36827,organizational unit 65463,193.76527411003897,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36828,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36829
st_step 36838_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-01-29 10:48:19+00:00,EMPLOYEE,request for payment 36828,travel permit number 36823,task 36827,organizational unit 65463,193.76527411003897,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36828,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36829
st_step 36839_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-01-29 10:48:42+00:00,ADMINISTRATION,request for payment 36828,travel permit number 36823,task 36827,organizational unit 65463,193.76527411003897,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36828,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36829
st_step 36840_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-01-30 15:06:23+00:00,SUPERVISOR,request for payment 36828,travel permit number 36823,task 36827,organizational unit 65463,193.76527411003897,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36828,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36829
rp_request for payment 36828_15,SYSTEM,Request Payment,2018-02-01 08:13:35+00:00,UNDEFINED,request for payment 36828,travel permit number 36823,task 36827,organizational unit 65463,193.76527411003897,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36828,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36829
rp_request for payment 36828_16,SYSTEM,Payment Handled,2018-02-05 17:31:03+00:00,UNDEFINED,request for payment 36828,travel permit number 36823,task 36827,organizational unit 65463,193.76527411003897,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36828,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36829
st_step 36833_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-08 10:36:32+00:00,EMPLOYEE,request for payment 36825,travel permit number 36823,task 36827,organizational unit 65463,1754.4390413230756,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36825,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36826
st_step 36834_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-01-08 10:37:04+00:00,ADMINISTRATION,request for payment 36825,travel permit number 36823,task 36827,organizational unit 65463,1754.4390413230756,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36825,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36826
